name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url
"Abbeville","AL","31.564724","-85.2591227","2358","","6","Abbeville city","124","160","25","City of Abbeville","101 E Washington St, Abbeville, AL 36310, USA","https://cityofabbeville.org"
"Abbeville","SC","34.178544","-82.3776868","4874","","5","Abbeville city","100","160","25","City of Abbeville","Abbeville, SC 29620, USA","http://www.abbevillecitysc.com/"
"Abbeville","LA","29.9753954","-92.1271575","11186","","7","Abbeville city","100","160","25","City of Abbeville","101 N State St, Abbeville, LA 70510, USA","https://cityofabbeville.net/"
"Aberdeen","MD","39.5158557","-76.17018","16254","","5","Aberdeen city","125","160","25","City of Aberdeen","60 N Parke St A, Aberdeen, MD 21001, USA","https://www.aberdeenmd.gov/"
"Aberdeen","WA","46.9752047","-123.8113726","17013","","9","Aberdeen city","100","160","25","City of Aberdeen","200 E Market St, Aberdeen, WA 98520, USA","https://www.aberdeenwa.gov/"
"Aberdeen","SD","45.4646777","-98.468104","28495","","4","Aberdeen city","100","160","25","City of Aberdeen","123 S Lincoln St, Aberdeen, SD 57401, USA","http://www.aberdeen.sd.us/"
"Abilene","TX","32.4545143","-99.7381473","125182","","7","Abilene city","1000","160","25","City of Abilene","555 Walnut St, Abilene, TX 79601, USA","https://abilenetx.gov"
"Abingdon","VA","36.7066646","-81.9716269","8376","","5","Abingdon town","00148","160","43","Town of Abingdon","133 W Main St, Abingdon, VA 24210, USA","http://www.abingdon-va.gov"
"Accomack","VA","37.7659435","-75.7578073","33413","1","5","Accomack County","","50","06","Accomack County","23296 Courthouse Ave # 105, Accomac, VA 23301, USA","http://www.co.accomack.va.us"
"Ackley","IA","42.551695","-93.0522724","1599","","4","Ackley city","190","160","25","City of Ackley","258-298 State St, Ackley, IA 50601, USA","https://www.ackleyiowa.net/"
"Ada","ID","43.4514767","-116.244376","494967","1","8","Ada County","","50","06","Ada County","","https://adacounty.id.gov"
"Ada","OK","34.7662861","-96.666802","16481","","7","Ada city","200","160","25","City of Ada","231 S Townsend Ave, Ada, OK 74820, USA","https://adaok.com/"
"Adams","CO","39.8743252","-104.3318718","519572","1","8","Adams County","","50","06","Adams County","4430 S Adams County Pkwy, Brighton, CO 80601, USA","https://adcogov.org"
"Adamsville","AL","33.6023153","-86.9715269","4366","","6","Adamsville city","460","160","25","City of Adamsville","4828 Main St, Adamsville, AL 35005, USA","http://www.cityofadamsville.org"
"Addison","IL","41.9307823","-88.0089873","35702","","3","Addison village","243","160","47","Village of Addison","","http://addisonadvantage.org"
"Adelanto","CA","34.5809017","-117.4394577","38046","","9","Adelanto city","296","160","25","City of Adelanto","11600 Air Expy, Adelanto, CA 92301, USA","https://adelantoca.gov"
"Adrian","MI","41.8987804","-84.0448289","20645","","3","Adrian city","440","160","25","City of Adrian","135 E Maumee St, Adrian, MI 49221, USA","https://www.adriancity.com/"
"Agawam Town","MA","42.0638908","-72.6529587","28692","","1","Agawam Town city","840","160","25","City of Agawam Town","36 Main St, Agawam, MA 01001, USA","http://www.agawam.ma.us/"
"Agoura Hills","CA","34.1489422","-118.7639301","20299","","9","Agoura Hills city","394","160","25","City of Agoura Hills","30001 Ladyface Ct, Agoura Hills, CA 91301, USA","https://www.agourahillscity.org/"
