name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url,highest_score,contact_place_id
Anaheim,CA,33.8555018,-117.7586572,346824,,9,Anaheim city,2000,160,25,City of Anaheim,"200 S Anaheim Blvd, Anaheim, CA 92805, USA",http://www.anaheim.net/,0.7419354838709677,6542a2eaa129cb65b87a05c4
Selma,AL,32.4169832,-87.0357021,17971,,6,Selma city,69120,160,25,City of Selma,"222 Broad St, Selma, AL 36701, USA",https://selma-al.gov/,1.0,65a603f5c769fa16f6591461
Aurora,CO,39.7036326,-104.720088,386261,,8,Aurora city,4000,160,25,City of Aurora,"15151 E Alameda Pkwy, Aurora, CO 80012, USA",https://www.auroragov.org/,0.7666666666666666,6542a2e8a129cb65b87a034e
Cedar Bluff,AL,34.2214223,-85.5885654,1845,,6,Cedar Bluff town,12760,160,43,Town of Cedar Bluff,"3420 Spring St, Cedar Bluff, AL 35959, USA",http://www.cedarbluff-al.org,0.7567567567567568,6542a30da129cb65b87a4531
Warren,VA,38.9082214,-78.207594,40727,187,5,Warren County,,50,6,Warren County,"220 N Commerce Ave # 100, Front Royal, VA 22630, USA",https://www.warrencountyva.gov,0.8125,6542a322a129cb65b87a8270
Woodruff,SC,34.7424815,-82.0347773,4212,,5,Woodruff city,79090,160,25,City of Woodruff,"231 E Hayne St, Woodruff, SC 29388, USA",http://www.cityofwoodruff.com/,0.7419354838709677,6542a31da129cb65b87a72a8
York,SC,34.9983468,-81.2330664,8503,,5,York city,79630,160,25,City of York,"10 N Roosevelt St, York, SC 29745, USA",https://www.yorksc.gov,0.7727272727272727,6542a2e8a129cb65b87a03af
Sitka,AK,57.1932044,-135.3673965,8458,220,9,Sitka City and Borough,,50,3,Sitka City and Borough,"100 Lincoln St, Sitka, AK 99835, USA",http://www.cityofsitka.com/,0.7777777777777778,65a603f5c769fa16f6591445
Sitka,AK,57.1932044,-135.3673965,8458,,9,Sitka city and borough,70540,160,53,City and Borough of Sitka,,http://www.cityofsitka.com/,0.7777777777777778,65a603f5c769fa16f6591445
Haines Borough School District,AK,59.1025016,-135.5741155,262,,9,Haines Borough School District,270,970,0,Haines Borough School District,"604 Haines Hwy, Haines, AK, 99827",http://www.hbsd.net,0.6538461538461539,65a603f5c769fa16f659129e
Tuscumbia,AL,34.7185022,-87.7025864,9054,,6,Tuscumbia city,77280,160,25,City of Tuscumbia,"116 E 6th St, Tuscumbia, AL 35674, USA",https://cityoftuscumbia.org,0.7407407407407407,65a603f5c769fa16f659148d
Arizona,AZ,34.2039362,-111.6063449,7151502,,8,Arizona,,40,0,Arizona,,https://az.gov,0.7,6542a2eca129cb65b87a084a
Chicago,IL,41.8370453,-87.6849386,2746388,,3,Chicago city,14000,160,25,City of Chicago,"121 N La Salle St # 107, Chicago, IL 60602, USA",https://www.chicago.gov,0.7391304347826086,6542a30ba129cb65b87a3f9e
Cincinnati,OH,39.140183,-84.5058289,309317,,3,Cincinnati city,15000,160,25,City of Cincinnati,"801 Plum St, Cincinnati, OH 45202, USA",http://www.cincinnati-oh.gov,0.736842105263158,6542a30fa129cb65b87a4af8
Pelican City School District,AK,57.9575886,-136.2221666,12,,9,Pelican City School District,630,970,0,Pelican City School District,"14 Chum Way, Pelican, AK, 99832",https://pelicanschool.org,0.6923076923076923,6596ece9280c2e17d827a131
Milwaukee,WI,43.0633484,-87.9666952,577222,,3,Milwaukee city,53000,160,25,City of Milwaukee,"200 E Wells St, Milwaukee, WI 53202, USA",https://www.milwaukee.gov/,0.7692307692307692,6542a2e8a129cb65b87a01ea
Staunton,VA,38.1579778,-79.0618761,25750,,5,Staunton city,75216,160,25,City of Staunton,"116 W Beverley St # 3, Staunton, VA 24401, USA",https://www.ci.staunton.va.us/,0.625,6542a362a129cb65b87b132a
Denali,AK,63.6820386,-150.0270164,1619,68,9,Denali Borough,,50,4,Denali Borough,"Healy Spur Rd, Healy, AK 99743, USA",http://www.denaliborough.org/,0.5862068965517242,6542a2eaa129cb65b87a05fa
Alexandria,VA,38.8192511,-77.0836695,159467,,5,Alexandria city,1000,160,25,City of Alexandria,"301 King St, Alexandria, VA 22314, USA",http://www.alexandriava.gov,0.9310344827586207,6542a2e8a129cb65b87a0304
Newport News,VA,37.0761357,-76.5219802,186247,,5,Newport News city,56000,160,25,City of Newport News,"2400 Washington Ave, Newport News, VA 23607, USA",http://www.nnva.gov,0.736842105263158,6542a30ba129cb65b87a3f9e
Tazewell,VA,37.1253949,-81.5629237,40429,185,5,Tazewell County,,50,6,Tazewell County,"197 Main St, Tazewell, VA 24651, USA",http://tazewellcountyva.org,0.7037037037037037,6542a368a129cb65b87b1a75
Department of Defense,dc,,,,,,Department of Defense,,360,,Department of Defense,,https://www.defense.gov/,0.875,656df45c9d400aa33296c75c
Choctaw,AL,31.9909539,-88.2488894,12665,23,6,Choctaw County,,50,6,Choctaw County,"117 S Mulberry Ave # 1, Butler, AL 36904, USA",https://www.choctawcountyal.org,0.7948717948717949,65a603f5c769fa16f65912ac
Monroeville,AL,31.5162233,-87.3277136,5951,,6,Monroeville city,50192,160,25,City of Monroeville,"125 E Claiborne St, Monroeville, AL 36460, USA",https://www.monroevilleal.gov/,0.8333333333333334,65a603f5c769fa16f6591407
Beverly Hills,CA,34.07923,-118.4024374,32701,,9,Beverly Hills city,6308,160,25,City of Beverly Hills,"455 N Rexford Dr, Beverly Hills, CA 90210, USA",https://www.beverlyhills.org/,0.6896551724137931,6596ece9280c2e17d827a131
Fort Payne,AL,34.4573293,-85.6894469,14877,,6,Fort Payne city,27616,160,25,City of Fort Payne,"200 Gault Ave S #1, Fort Payne, AL 35967, USA",https://fortpayne.org/,0.6521739130434783,6542a31da129cb65b87a7472
Guin,AL,33.9832195,-87.9023629,2195,,6,Guin city,32224,160,25,City of Guin,"7500 US-43, Guin, AL 35563, USA",http://www.guinal.org,0.9130434782608696,6542a323a129cb65b87a85bf
Sullivan's Island,SC,32.7709494,-79.8311365,1891,,5,Sullivan's Island town,70090,160,43,Town of Sullivan's Island,"2056 Middle St, Sullivan's Island, SC 29482, USA",https://sullivansisland.sc.gov/,0.7419354838709677,6542a35ea129cb65b87b0bdc
Varnville,SC,32.8520318,-81.0802276,1669,,5,Varnville town,73600,160,43,Town of Varnville,,https://www.varnvillesc.org/,0.75,65a603f5c769fa16f65913c3
Kenai,AK,60.5622396,-151.2080602,7424,,9,Kenai city,38420,160,25,City of Kenai,"210 Fidalgo Ave # 200, Kenai, AK 99611, USA",https://www.kenai.city/,0.8518518518518519,65a603f5c769fa16f6591215
Lamar,AL,33.7870852,-88.0874309,13972,75,6,Lamar County,,50,6,Lamar County,"1118 Co Rd 9, Vernon, AL 35592, USA",https://www.sos.alabama.gov/city-county-lookup/lamar,1.0,65a603f5c769fa16f65912cc
Walker,AL,33.7915581,-87.3010936,65342,127,6,Walker County,,50,6,Walker County,"1801 3rd Ave #113, Jasper, AL 35501, USA",https://www.walkercountyal.us,0.6857142857142857,65a603f5c769fa16f65912c1
Madison City School District,AL,34.7123015,-86.7570537,12473,,6,Madison City School District,8,970,0,Madison City School District,"211 Celtic Drive, Madison, AL, 35758",https://www.madisoncity.k12.al.us/,0.8095238095238095,65a603f5c769fa16f65914cd
Choctaw County School District,AL,32.0317832,-88.2589753,1097,,6,Choctaw County School District,690,970,0,Choctaw County School District,"107 Tom Orr Dr, Butler, AL, 36904",https://www.choctawal.org/,0.8387096774193549,65a603f5c769fa16f65914d7
Altamonte Springs,FL,28.6610215,-81.3946805,46231,,5,Altamonte Springs city,950,160,25,City of Altamonte Springs,"201-211 Newburyport Ave, Altamonte Springs, FL 32701, USA",http://www.altamonte.org/,0.72,6542a2eaa129cb65b87a06ac
Baltimore,MD,39.3000324,-76.6104761,585708,,5,Baltimore city,4000,160,25,City of Baltimore,"100 Holliday St, Baltimore, MD 21202, USA",http://www.baltimorecity.gov/,0.8387096774193549,6542a2fca129cb65b87a283c
